,rms_angle_error,rms_angle_error_rad,rms_rate_error,rms_human_torque,rms_robot_torque,rms_human_power,rms_robot_power,human_angle_cost,robot_angle_cost,human_angle_gain,robot_angle_gain,system_angle_cost,system_angle_gain,authority,condition,condition_number,repetition,cost_variability,rms_estimated_human_torque,settings,participant,conflict
49,5.7180848831106506,0.09979940811879595,0.6292624198546186,0.5474919894040863,0.29533637658583467,0.23834839024709267,0.35420299613039674,10.133062313645915,10.373342893130213,1.8163480077579484,1.8813742216528708,20.50716624371092,3.697845791632444,-0.27362326742643206,Positive Reinforcement,1,1,205.68798317568226,0.17828159616297715,Good Visuals,4,0.5274987751102401
52,5.677644802686003,0.09909359556561453,0.6360193752720243,0.5741397056885275,0.2988583108375342,0.2579473265021716,0.39484948282826887,11.350227558530982,11.590227558530982,1.924702996193108,1.98608606810056,22.940557193777373,3.9108067942812825,-0.2716303716293429,Positive Reinforcement,1,2,206.37566614256522,0.18204329186891569,Good Visuals,4,0.5592535943713673
53,5.828958990032885,0.10173452633979718,0.5862593851741265,0.5196643664732152,0.28079729883272303,0.23892275557846723,0.34825642240130206,10.142840135735646,10.382840135735648,1.817441627654722,1.882235361533555,20.52955902349521,3.699599687201824,-0.22925415593930049,Positive Reinforcement,1,3,203.91896660813666,0.17595991644232223,Good Visuals,4,0.5301947853697259
54,5.736922595769041,0.10012818822822947,0.5824420853496852,0.5266147162632183,0.17013057239927679,0.3883850880293408,0.20110372632504053,10.336649822581837,1.6657218064550232,2.95662216757783,0.2693823808074376,12.001096108348257,3.2262675677770782,0.28182242581461137,Negative Reinforcement,2,0,201.56239151932547,0.28290952523458734,Good Visuals,4,0.47481269415849425
55,6.312965924949788,0.11018204095658302,0.6191312282114106,0.937418068183941,1.080390227137814,0.5331490991901867,1.2530795749719477,-55.39076361300077,12.0,-3.878744000753653,9.079172711686024,-43.39076361300077,5.200309721624981,-1.7981705479203964,Negative Reinforcement,2,1,255.31731053952268,0.3932138119104318,Good Visuals,4,0.8270356900696542
56,5.886457512052976,0.10273806486407823,0.6200920530969789,0.7919495833078647,0.8761228295979328,0.4097590067064481,1.0231981941911137,-18.363865305956743,12.0,-1.8808952037056583,5.820905673268024,-6.363865305956745,3.9399509550558056,-1.5368035857845874,Negative Reinforcement,2,2,257.1509242995127,0.2939506985944275,Good Visuals,4,0.7519787286668316
57,5.612685059569766,0.09795983416698649,0.5928297094585522,0.525732172618676,0.1331138427722727,0.4408697089905388,0.13667404324121296,11.273863674407549,0.7262777159151099,3.2495364693210624,0.1098927949086081,12.007921070969152,3.359450729979375,0.5265950845302652,Negative Reinforcement,2,3,254.7066962983658,0.3239217592866708,Good Visuals,4,0.4733329251117507
62,4.83296489112703,0.08435114998345596,0.567836270598121,0.520030360290179,0.2726958366493142,0.22009902171370077,0.28557219076681356,13.90988127382038,14.149106271610243,2.1347959730524355,2.1902306511206455,28.05560187340547,4.324983580037788,-0.2406662091442539,Positive Reinforcement,1,2,251.86036194815645,0.17310759307302961,Good Visuals,5,0.5523248681143418
63,5.718464848410761,0.09980603976432621,0.5569627237142379,0.4663918691023018,0.26741021220635774,0.23224741893720913,0.3030948217725339,11.138704958409813,11.378376674928212,1.906227885751322,1.9681828894776259,22.515562777157804,3.8744463993027916,-0.20276002292312906,Positive Reinforcement,1,3,249.2551578453678,0.1775484966100106,Good Visuals,5,0.49993846153846155
66,6.156703806248731,0.1074547524891074,0.6393867662875005,0.5452028311329412,0.16169966811316244,0.4218656096068422,0.18176956059326238,9.752462592743251,2.2475374072567487,2.766636826000561,0.3798500439969884,12.000284974182287,3.145806850352313,0.30048878600815476,Negative Reinforcement,2,0,241.358630047044,0.28873558129983884,Good Visuals,5,0.49151182171738994
67,6.915361151457882,0.12069582105744628,0.6742636293445357,0.5411399075634977,0.20862999247978492,0.4288161933235722,0.23203663526830481,8.277624313829756,3.722375686170244,2.250515869077424,0.7137311844821986,12.000273822146898,3.010595336460689,0.21669198136968215,Negative Reinforcement,2,1,238.31439528749556,0.27674905097614916,Good Visuals,5,0.5113924050632911
68,6.228764958758743,0.10871245686318887,0.6492749263123134,0.5479422076646601,0.16444284831956643,0.4138711405436913,0.1821227101666135,10.355450985067138,1.6448083405961,2.9628026355664843,0.2658921448784564,12.000708121800802,3.229046931561716,0.3328018607152103,Negative Reinforcement,2,2,235.75093603962733,0.30496109768415436,Good Visuals,5,0.49145536430378184
